,0
344,4889.0368
345,1980.07
346,18765.87545
347,14254.6082
348,6289.7549
349,5002.7827
350,3176.8159
351,5989.52365
352,1719.4363
353,1241.565
354,40720.55105
355,48673.5588
356,12124.9924
357,3994.1778
358,11837.16
359,5246.047
360,39836.519
361,8023.13545
362,42111.6647
363,9875.6804
364,25333.33284
365,2128.43105
366,7152.6714
367,5488.262
368,2117.33885
369,7201.70085
370,3987.926
371,30284.64294
372,1632.56445
373,1146.7966
374,7147.4728
375,11842.62375
376,8627.5411
377,38344.566
378,13555.0049
379,4661.28635
380,3556.9223
381,5438.7491
382,34828.654
383,9304.7019
384,9174.13565
385,6203.90175
386,12957.118
387,51194.55914
388,1837.237
389,6837.3687
390,16657.71745
391,11729.6795
392,14455.64405
393,39556.4945
394,8232.6388
395,7371.772
396,12235.8392
397,10435.06525
398,13405.3903
399,17043.3414
400,2134.9015
401,6128.79745
